cuisine,Calories,Fat,Carbs,Protein,num_ingredients,luxury_score,Life expectancy at birth (years),Healthy life expectancy at birth (years),UHC: Service coverage index,Obesity_Adult_18plus,cluster,PCA1,PCA2,cluster_str
Jamaica,324.40425531914894,15.5625,27.854166666666668,19.0,12.9375,0.6666666666666666,72.772605896,60.5411262512,74.1445465088,33.80701828,4,0.006729145394453115,-0.3198029328124721,4
Japan,333.8354430379747,16.4,31.75,15.95,11.05625,0.925,87.1580352783,73.3951873779,83.4883117676,5.5392999649,2,1.9207578385758597,1.4021481117682026,2
Jordan,346.0,12.0,44.0,17.0,5.0,0.0,74.5687789917,64.5182037354,64.9074783325,38.5069999695,4,-0.05120810913804348,-0.16925364274756777,4
Kuwait,26.0,0.0,6.0,0.0,4.0,1.0,81.7506408691,68.3544998169,77.8149185181,41.4169692993,4,4.225549064144589,-2.2454261662361463,4
Latvia,349.0,15.333333333333334,45.333333333333336,9.666666666666666,4.666666666666667,0.6666666666666666,77.897277832,60.7763710022,74.6274490356,24.2724990845,4,0.393017016345797,-0.11153973413615502,4
Lebanon,248.90740740740742,12.925925925925926,24.90740740740741,10.925925925925926,10.296296296296296,0.5,71.2497940063,64.4004974365,72.6196899414,29.7815608978,4,0.8222159162625216,-1.066611490330393,4
Liberia,318.0,25.0,6.0,19.0,9.0,1.0,64.2688369751,53.9609985352,44.7096595764,17.0137691498,3,-1.6178903228284942,-1.9387224274457928,3
Lithuania,429.3333333333333,19.571428571428573,45.42857142857143,11.0,6.714285714285714,0.14285714285714285,74.1331481934,64.2281341553,75.3157424927,25.3553199768,4,-0.23749886923826263,0.4356233441915794,4
Malaysia,422.1,25.066666666666666,26.533333333333335,24.333333333333332,16.766666666666666,1.9333333333333333,72.8101043701,62.9917411804,75.9927368164,22.095369339,2,-0.3173936343371229,1.0551764315871384,2
Mali,59.0,0.0,15.0,0.0,5.0,1.0,62.2896156311,54.0028305054,41.2800102234,11.3726396561,4,0.5166932528233281,-5.172210324370053,4
Malta,827.0,30.0,80.0,55.0,10.5,1.0,83.7301177979,70.7127914429,85.2370376587,32.2879905701,1,-2.625602064037896,6.392815022008116,1
Mexico,362.456,17.82,32.032,19.412,8.48,0.456,74.6895217896,59.4921607971,74.5478286743,36.0299110413,4,-0.20747159521130834,0.07560172861773838,4
Mongolia,322.2142857142857,14.285714285714286,31.142857142857142,18.428571428571427,14.285714285714286,1.5,70.0979537964,61.3131637573,64.9510421753,24.1087398529,4,-0.13551536682554124,-0.6674338797617106,4
Morocco,372.0416666666667,12.708333333333334,44.166666666666664,21.291666666666668,23.541666666666668,0.2916666666666667,71.5359573364,62.3396530151,69.4520187378,21.7843494415,3,-0.9685697699429962,-0.16043393437251377,3
Myanmar,458.8333333333333,22.666666666666668,41.5,23.0,11.166666666666666,1.0,71.1462783813,61.692943573,52.4471206665,7.42634010315,3,-1.7495576530400763,0.2368722210073907,3
New Zealand,214.11764705882354,10.176470588235293,29.88235294117647,4.0588235294117645,17.764705882352942,2.176470588235294,82.2014923096,70.3457794189,84.8329086304,33.6213111877,2,3.0742226296959503,-0.018387403936781694,2
Nicaragua,243.0,14.0,29.0,4.0,2.0,0.0,75.027961731,64.6144943237,70.3147125244,33.6272888184,4,1.1871240034801713,-1.1305053326551222,4
Nigeria,466.5,18.0,52.25,23.75,5.75,0.25,62.067024231,54.9497947693,38.4234085083,12.3562097549,3,-3.346433288472237,-1.1370912648926634,3
Norway,274.85714285714283,12.380952380952381,35.04761904761905,7.142857142857143,10.666666666666666,2.0952380952380953,81.5030212402,71.181892395,87.031791687,19.146440506,2,2.68158830641724,0.5189486594067445,2
